epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6397.22,0.74447,0.93096,0.697,0.99888,0.83028,0.83871,0.90016,0.68769,0.83731,0.83012,0.89398,0.67943,0.91884,0.93612,0.79921,1.03298,0.0008516,0.0008516,0.0008516
31,6607.2,0.74176,0.88628,0.64401,1.0057,0.88016,0.82921,0.89045,0.65674,0.85938,0.83065,0.88504,0.66477,0.986,0.97692,0.83808,1.09363,0.000812,0.000812,0.000812
32,6819.2,0.79514,0.96028,0.66691,1.0112,0.79404,0.83065,0.88451,0.65181,0.79404,0.83065,0.88235,0.66472,0.9451,0.95977,0.867,1.06318,0.0007724,0.0007724,0.0007724
33,7031,0.73646,0.85163,0.65736,0.98264,0.82631,0.84677,0.88321,0.67092,0.80934,0.83065,0.8668,0.64562,0.92458,0.93205,0.85957,1.06802,0.0007328,0.0007328,0.0007328
34,7243.41,0.67835,0.86126,0.61109,0.97472,0.86638,0.83666,0.90301,0.68187,0.84968,0.82053,0.88247,0.65834,0.906,0.90878,0.74566,1.0535,0.0006932,0.0006932,0.0006932
35,7455.98,0.69694,0.8949,0.62243,0.96862,0.9153,0.83871,0.90443,0.69536,0.9065,0.83065,0.89216,0.6634,0.8986,0.99456,0.77883,1.04304,0.0006536,0.0006536,0.0006536
36,7667.24,0.70289,0.82887,0.60453,0.96785,0.91025,0.81788,0.90139,0.6875,0.91025,0.81788,0.89742,0.66383,0.86515,1.0159,0.72985,1.04904,0.000614,0.000614,0.000614
37,7880.18,0.69463,0.85245,0.61831,0.96233,0.87274,0.82961,0.89173,0.6986,0.87719,0.82258,0.89556,0.66523,0.82327,0.96847,1.14735,1.01589,0.0005744,0.0005744,0.0005744
38,8093.62,0.67919,0.83808,0.61672,0.96856,0.81772,0.84677,0.88113,0.67242,0.91242,0.75618,0.8491,0.63333,0.88089,1.0084,0.79863,1.08128,0.0005348,0.0005348,0.0005348
39,8305.49,0.64452,0.89396,0.58406,0.95616,0.87077,0.83065,0.91381,0.69447,0.87922,0.83871,0.91959,0.67313,0.93084,0.95572,0.73105,1.07102,0.0004952,0.0004952,0.0004952
